#of levels:        295
base height:     0.10933494
altitude (km)    pressure (hPa)  temperature (K)  water vapor mixing ratio (kg/kg) ozone mixing ratio(kg/kg)
       15.081166      130.029       200.65220   5.4229031e-06   1.0502880e-07
       15.002776      131.774       201.11166   5.7616401e-06   1.0353507e-07
       14.924204      133.543       201.58001   6.1161239e-06   1.0213660e-07
       14.845447      135.335       202.06445   6.4668762e-06   1.0099577e-07
       14.766496      137.152       202.57300   6.8241941e-06   9.9837495e-08
       14.687344      138.993       203.09176   7.2298451e-06   9.8909565e-08
       14.607989      140.858       203.61361   7.7025349e-06   9.7724699e-08
       14.528430      142.749       204.13598   8.1893214e-06   9.6607045e-08
       14.448667      144.665       204.66029   8.7483694e-06   9.5597841e-08
       14.368698      146.607       205.19222   9.3717996e-06   9.4711518e-08
       14.288515      148.575       205.74221   1.0020920e-05   9.3788596e-08
       14.208116      150.569       206.31223   1.0748102e-05   9.2921754e-08
       14.127494      152.590       206.88134   1.1634462e-05   9.1961366e-08
       14.046649      154.638       207.45964   1.2583387e-05   9.1172294e-08
       13.965578      156.714       208.04245   1.3561851e-05   9.0251788e-08
       13.884276      158.817       208.63794   1.4569709e-05   8.9248734e-08
       13.802740      160.949       209.24216   1.5597338e-05   8.8390158e-08
       13.720969      163.110       209.84378   1.6809379e-05   8.7562164e-08
       13.638963      165.299       210.44872   1.8174616e-05   8.6898876e-08
       13.556718      167.518       211.05981   1.9545644e-05   8.6229811e-08
       13.474232      169.766       211.68704   2.0932715e-05   8.5562315e-08
       13.391502      172.045       212.31599   2.2488768e-05   8.4977752e-08
       13.308524      174.354       212.95043   2.4130534e-05   8.4356577e-08
       13.225298      176.694       213.59110   2.5770147e-05   8.3780748e-08
       13.141820      179.066       214.23845   2.7642764e-05   8.3237856e-08
       13.058089      181.470       214.89060   2.9520221e-05   8.2932621e-08
       12.974101      183.905       215.55212   3.1527247e-05   8.2391017e-08
       12.889854      186.374       216.21858   3.3907596e-05   8.1866553e-08
       12.805346      188.876       216.88903   3.6431100e-05   8.1426520e-08
       12.720575      191.411       217.56549   3.9387418e-05   8.1052702e-08
       12.635542      193.980       218.23299   4.2567287e-05   8.0583717e-08
       12.550245      196.584       218.91628   4.5750098e-05   8.0156467e-08
       12.464681      199.222       219.60161   4.9342407e-05   7.9628595e-08
       12.378847      201.896       220.29511   5.3493474e-05   7.9230968e-08
       12.292741      204.606       220.99392   5.7820333e-05   7.8908286e-08
       12.206364      207.353       221.68832   6.2852012e-05   7.8563140e-08
       12.119712      210.136       222.39829   6.8382882e-05   7.8269207e-08
